section,job_id,type,engine,nodes,total_s,io_s
3D_BP,5130062,default,ews,8,61.95,21.43
3D_BP,5130062,default,tls,8,54.84,14.16
3D_BP,5130062,null,null,8,41.97,1.1
3D_BP,5130198,default,ews,8,62.37,21.82
3D_BP,5130198,default,tls,8,54.71,14.17
3D_BP,5130198,null,null,8,42.09,1.13
3D_BP,5130965,default,ews,8,62.43,21.96
3D_BP,5130965,default,tls,8,55.27,14.3
3D_BP,5130965,null,null,8,42.01,1.09
3D_H5,5131182,default,default,8,119.82,78.71
3D_H5,5131562,default,default,8,119.91,78.82
3D_H5,5131584,default,default,8,119.16,78.11
3D_BP,5131666,default,ews,16,62.75,22.3
3D_BP,5131666,default,tls,16,55.18,14.57
3D_BP,5131666,null,null,16,42.31,1.19
3D_BP,51315177,default,ews,16,66.83,26.42
3D_BP,51315177,default,tls,16,58.41,17.1
3D_BP,51315177,null,null,16,42.27,1.16
3D_BP,5149934,default,ews,16,62.71,22.14
3D_BP,5149934,default,tls,16,56.82,15.55
3D_BP,5149934,null,null,16,42.32,1.18
3D_BP,5131665,default,ews,32,67.01,23.75
3D_BP,5131665,default,tls,32,59.67,16.15
3D_BP,5131665,null,null,32,45.19,1.2
3D_BP,5135190,default,ews,32,67.02,23.64
3D_BP,5135190,default,tls,32,58.98,15.54
3D_BP,5135190,null,null,32,45.42,1.21
3D_BP,5149935,default,ews,32,67.47,24.25
3D_BP,5149935,default,tls,32,60.18,15.99
3D_BP,5149935,null,null,32,47.38,1.19
BTD_H5,5097447,c8s16,default,8,96.06,70.21
BTD_H5,5097480,c8s16,default,8,88.96,73.13
BTD_H5,5097177,c8s1,default,8,93.58,77.69
BTD_SPAN,5148870,default,ews,8,19.11,3.38
BTD_SPAN,5148870,default,tls,8,18.74,3.02
BTD_SPAN,5148870,null,null,8,16.42,0.6
BTD_SPAN,5148893,default,ews,8,19.1,3.37
BTD_SPAN,5148893,default,tls,8,18.77,3.0
BTD_SPAN,5148893,null,null,8,16.38,0.6
BTD_SPAN,5148918,default,ews,8,18.95,3.34
BTD_SPAN,5148918,default,tls,8,18.9,3.27
BTD_SPAN,5148918,null,null,8,16.57,0.79
BTD_SPAN,5143648,default,ews,16,42.78,10.9
BTD_SPAN,5143648,default,tls,16,41.71,9.71
BTD_SPAN,5143648,null,null,16,33.78,1.76
BTD_SPAN,5143727,default,ews,16,43.02,11.1
BTD_SPAN,5143727,default,tls,16,41.83,9.96
BTD_SPAN,5143727,null,null,16,33.75,1.77
BTD_SPAN,5144408,default,ews,16,42.53,10.58
BTD_SPAN,5144408,default,tls,16,41.68,9.78
BTD_SPAN,5144408,null,null,16,33.78,1.76
BTD_SPAN,5143623,default,ews,32,57.27,22.99
BTD_SPAN,5143623,default,tls,32,53.45,19.19
BTD_SPAN,5143623,null,null,32,37.47,3.34
BTD_SPAN,5143729,default,ews,32,57.52,23.32
BTD_SPAN,5143729,default,tls,32,54.64,20.21
BTD_SPAN,5143729,null,null,32,37.67,3.34
BTD_SPAN,5144084,default,ews,32,56.44,22.21
BTD_SPAN,5144084,default,tls,32,53.73,19.46
BTD_SPAN,5144084,null,null,32,37.65,3.38
BTD_ASYNC,5148972,default,ews,8,17.54,1.73
