section,engine,nodes,n_runs,io_mean_s,io_std_s,io_values
3D_BP,ews,8,3,21.737,0.275,21.43;21.82;21.96
3D_BP,ews,16,3,23.62,2.426,22.3;26.42;22.14
3D_BP,ews,32,3,23.88,0.325,23.75;23.64;24.25
3D_BP,null,8,3,1.107,0.021,1.1;1.13;1.09
3D_BP,null,16,3,1.177,0.015,1.19;1.16;1.18
3D_BP,null,32,3,1.2,0.01,1.2;1.21;1.19
3D_BP,tls,8,3,14.21,0.078,14.16;14.17;14.3
3D_BP,tls,16,3,15.74,1.276,14.57;17.1;15.55
3D_BP,tls,32,3,15.893,0.316,16.15;15.54;15.99
3D_H5,default,8,3,78.547,0.382,78.71;78.82;78.11
BTD_ASYNC,ews,8,3,1.8,0.07,1.73;1.8;1.87
BTD_ASYNC,ews,16,3,5.733,0.081,5.79;5.64;5.77
BTD_ASYNC,ews,32,3,11.803,0.161,11.87;11.92;11.62
BTD_ASYNC,null,8,3,0.6,0.017,0.59;0.59;0.62
BTD_ASYNC,null,16,3,1.783,0.012,1.79;1.79;1.77
BTD_ASYNC,null,32,3,3.377,0.025,3.4;3.35;3.38
BTD_ASYNC,tls,8,3,1.38,0.017,1.37;1.37;1.4
BTD_ASYNC,tls,16,3,4.503,0.85,3.93;4.1;5.48
BTD_ASYNC,tls,32,3,8.327,0.101,8.34;8.42;8.22
BTD_FLATTEN,ews,8,3,3.367,0.06,3.36;3.31;3.43
BTD_FLATTEN,ews,16,3,10.957,0.31,10.97;11.26;10.64
BTD_FLATTEN,ews,32,3,22.703,0.307,23.04;22.63;22.44
BTD_FLATTEN,null,8,3,0.61,0.01,0.6;0.62;0.61
BTD_FLATTEN,null,16,3,1.76,0.0,1.76;1.76;1.76
BTD_FLATTEN,null,32,3,3.377,0.031,3.41;3.37;3.35
BTD_FLATTEN,tls,8,3,3.787,0.521,3.19;4.02;4.15
BTD_FLATTEN,tls,16,3,10.123,0.899,11.13;9.84;9.4
BTD_FLATTEN,tls,32,3,19.827,0.203,19.89;19.99;19.6
BTD_H5,default,8,3,73.677,3.77,70.21;73.13;77.69
BTD_SPAN,ews,8,3,3.363,0.021,3.38;3.37;3.34
BTD_SPAN,ews,16,3,10.86,0.262,10.9;11.1;10.58
BTD_SPAN,ews,32,3,22.84,0.57,22.99;23.32;22.21
BTD_SPAN,null,8,3,0.663,0.11,0.6;0.6;0.79
BTD_SPAN,null,16,3,1.763,0.006,1.76;1.77;1.76
BTD_SPAN,null,32,3,3.353,0.023,3.34;3.34;3.38
BTD_SPAN,tls,8,3,3.097,0.15,3.02;3.0;3.27
BTD_SPAN,tls,16,3,9.817,0.129,9.71;9.96;9.78
BTD_SPAN,tls,32,3,19.62,0.528,19.19;20.21;19.46
